;AC_Usuario;AC_Perfil;AC_Opcion;AC_Usuario_Perfil;AC_Perfil_Opcion;AC_Asignar_Opcion;SU_Pais;SU_Ciudad;SU_Empresa;SU_Tipo_Empresa;SU_Tipo_Empresa_Cargo;SU_Cargo;SU_Empresa_Usuario;SU_Titulo;CE_Convocatoria;CE_Tema;CE_Evaluacion;CE_Seccion;CE_Pregunta;CE_Alternativa;CE_Tipo_Pregunta;CE_Tema_Articulo;CE_Evaluacion_Tema_Articulo;CE_Evaluador_Articulo;CE_Respuesta;AE_Categoria;AE_Subcategoria;AE_Categoria_Evento;AE_Subcategoria_Evento;AE_Respuesta_Faq;AE_Pregunta_Faq;AE_Faq;AE_Actividad;AE_Fecha_Evento;GI_Grupo_Investigacion;AE_Organizador;AE_Evento;AE_Tipo_Evento;AE_Asignar_Evento;AE_Auspicio;AE_Material;AE_Tipo_Material;AE_Registro;AE_Material_Registro;AA_Articulo;AA_Autor_Articulo;AE_Evento_Articulo;AE_Conferencista_Evento_Articulo;AE_Conferencista_Evento;AE_Evento_Opcion;AA_Archivo
cr_AC_Usuario;O/C;;;;;;A/M;A/M;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_AC_Usuario;O/E;;;;;;A/M;A/M;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_AC_Perfil;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_AC_Perfil;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_AC_Opcion;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_AC_Opcion;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_AC_Usuario_Perfil;A/M;A/M;;O/C;;;A/M;A/M;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_AC_Usuario_Perfil;A/M;A/M;;O/E;;;A/M;A/M;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_AC_Perfil_Opcion;;A/M;A/M;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_AC_Perfil_Opcion;;A/M;A/M;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_AC_Asignar_Opcion;;;A/M, A/M;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_AC_Asignar_Opcion;;;A/M, A/M;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_SU_Pais;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_SU_Pais;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_SU_Ciudad;;;;;;;A/M;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_SU_Ciudad;;;;;;;A/M;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_SU_Empresa;;;;;;;A/M;A/M;O/C;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_SU_Empresa;;;;;;;A/M;A/M;O/E;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_SU_Tipo_Empresa;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_SU_Tipo_Empresa;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_SU_Tipo_Empresa_Cargo;;;;;;;;;;A/M;O/C;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_SU_Tipo_Empresa_Cargo;;;;;;;;;;A/M;O/E;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_SU_Cargo;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_SU_Cargo;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_SU_Empresa_Usuario;A/M;;;;;;A/M, A/M;A/M, A/M;A/M;A/M;;A/M;O/C;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_SU_Empresa_Usuario;A/M;;;;;;A/M, A/M;A/M, A/M;A/M;A/M;;A/M;O/E;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_SU_Titulo;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_SU_Titulo;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_CE_Convocatoria;;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;;
fin_CE_Convocatoria;;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;;
cr_CE_Tema;;;;;;;;;;;;;;;A/M;O/C;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;;
fin_CE_Tema;;;;;;;;;;;;;;;A/M;O/E;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;;
cr_CE_Evaluacion;;;;;;;;;;;;;;;A/M;;O/C;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;;
fin_CE_Evaluacion;;;;;;;;;;;;;;;A/M;;O/E;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;;
cr_CE_Seccion;;;;;;;;;;;;;;;A/M;;A/M;O/C;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;;
fin_CE_Seccion;;;;;;;;;;;;;;;A/M;;A/M;O/E;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;;
cr_CE_Pregunta;;;;;;;;;;;;;;;A/M;;A/M;A/M;O/C;;A/M;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;;
fin_CE_Pregunta;;;;;;;;;;;;;;;A/M;;A/M;A/M;O/E;;A/M;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;;
cr_CE_Alternativa;;;;;;;;;;;;;;;A/M;;A/M;A/M;A/M;O/C;A/M;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;;
fin_CE_Alternativa;;;;;;;;;;;;;;;A/M;;A/M;A/M;A/M;O/E;A/M;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;;
cr_CE_Tipo_Pregunta;;;;;;;;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_CE_Tipo_Pregunta;;;;;;;;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_CE_Tema_Articulo;;;;;;;;;;;;;;;A/M;A/M;;;;;;O/C;;;;;;;;;;;;;;;A/M;A/M;;;;;;;A/M;;;;;;
fin_CE_Tema_Articulo;;;;;;;;;;;;;;;A/M;A/M;;;;;;O/E;;;;;;;;;;;;;;;A/M;A/M;;;;;;;A/M;;;;;;
cr_CE_Evaluacion_Tema_Articulo;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;A/M, A/M;A/M;A/M;;;;;A/M;O/C;A/M;;;;;;;;;;;;;A/M, A/M;A/M, A/M;;;;;;;A/M;;;;;;
fin_CE_Evaluacion_Tema_Articulo;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;A/M, A/M;A/M;A/M;;;;;A/M;O/E;A/M;;;;;;;;;;;;;A/M, A/M;A/M, A/M;;;;;;;A/M;;;;;;
cr_CE_Evaluador_Articulo;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_CE_Evaluador_Articulo;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_CE_Respuesta;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;A/M, A/M;A/M;A/M;;;;;A/M;A/M;A/M;O/C;;;;;;;;;;;;A/M, A/M;A/M, A/M;;;;;;;A/M;;;;;;
fin_CE_Respuesta;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;A/M, A/M;A/M;A/M;;;;;A/M;A/M;A/M;O/E;;;;;;;;;;;;A/M, A/M;A/M, A/M;;;;;;;A/M;;;;;;
cr_AE_Categoria;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;
fin_AE_Categoria;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;
cr_AE_Subcategoria;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;O/C;;;;;;;;;;;;;;;;;;;;;;;;
fin_AE_Subcategoria;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;O/E;;;;;;;;;;;;;;;;;;;;;;;;
cr_AE_Categoria_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;O/C;;;;;;;;;A/M;A/M;;;;;;;;;;;;;
fin_AE_Categoria_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;O/E;;;;;;;;;A/M;A/M;;;;;;;;;;;;;
cr_AE_Subcategoria_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;O/C;;;;;;;;A/M;A/M;;;;;;;;;;;;;
fin_AE_Subcategoria_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;O/E;;;;;;;;A/M;A/M;;;;;;;;;;;;;
cr_AE_Respuesta_Faq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;A/M;A/M;;;;;A/M;A/M;;;;;;;;;;;;;
fin_AE_Respuesta_Faq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;A/M;A/M;;;;;A/M;A/M;;;;;;;;;;;;;
cr_AE_Pregunta_Faq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;A/M;;;;;A/M;A/M;;;;;;;;;;;;;
fin_AE_Pregunta_Faq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;A/M;;;;;A/M;A/M;;;;;;;;;;;;;
cr_AE_Faq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;;;;;A/M;A/M;;;;;;;;;;;;;
fin_AE_Faq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;;;;A/M;A/M;;;;;;;;;;;;;
cr_AE_Actividad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;A/M;;;A/M;A/M;;;;;;;;;;;;;
fin_AE_Actividad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;A/M;;;A/M;A/M;;;;;;;;;;;;;
cr_AE_Fecha_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;;;A/M;A/M;;;;;;;;;;;;;
fin_AE_Fecha_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;;A/M;A/M;;;;;;;;;;;;;
cr_AE_Grupo_Investigacion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;
fin_AE_Grupo_Investigacion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;
cr_AE_Organizador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;O/C;A/M;A/M;;;;;;;;;;;;;
fin_AE_Organizador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;O/E;A/M;A/M;;;;;;;;;;;;;
cr_AE_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;A/M;;;;;;;;;;;;;
fin_AE_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;A/M;;;;;;;;;;;;;
cr_AE_Tipo_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;
fin_AE_Tipo_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;
cr_AE_Asignar_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M, A/M;A/M, A/M;O/C;;;;;;;;;;;;
fin_AE_Asignar_Evento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M, A/M;A/M, A/M;O/E;;;;;;;;;;;;
cr_AE_Auspicio;;;;;;;A/M;A/M;A/M;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;O/C;;;;;;;;;;;
fin_AE_Auspicio;;;;;;;A/M;A/M;A/M;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;O/E;;;;;;;;;;;
cr_AE_Material;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;O/C;A/M;;;;;;;;;
fin_AE_Material;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;O/E;A/M;;;;;;;;;
cr_AE_Tipo_Material;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;;;;;;;;;
fin_AE_Tipo_Material;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;;;;;;;;
cr_AE_Registro;A/M, A/M;A/M;;A/M;;;A/M, A/M;A/M, A/M;;;;;;A/M, A/M;;;;;;;;;;;;A/M, A/M;A/M;A/M;A/M;;;;;;;;A/M, A/M, A/M;A/M, A/M, A/M;;;;;O/C;;;;;;;;
fin_AE_Registro;A/M, A/M;A/M;;A/M;;;A/M, A/M;A/M, A/M;;;;;;A/M, A/M;;;;;;;;;;;;A/M, A/M;A/M;A/M;A/M;;;;;;;;A/M, A/M, A/M;A/M, A/M, A/M;;;;;O/E;;;;;;;;
cr_AE_Material_Registro;A/M, A/M;A/M;;A/M;;;A/M, A/M;A/M, A/M;;;;;;A/M, A/M;;;;;;;;;;;;A/M, A/M;A/M;A/M;A/M;;;;;;;;A/M, A/M, A/M, A/M;A/M, A/M, A/M, A/M;;;A/M;A/M;A/M;O/C;;;;;;;
fin_AE_Material_Registro;A/M, A/M;A/M;;A/M;;;A/M, A/M;A/M, A/M;;;;;;A/M, A/M;;;;;;;;;;;;A/M, A/M;A/M;A/M;A/M;;;;;;;;A/M, A/M, A/M, A/M;A/M, A/M, A/M, A/M;;;A/M;A/M;A/M;O/E;;;;;;;
cr_AA_Articulo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/C;;;;;;
fin_AA_Articulo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;O/E;;;;;;
cr_AA_Autor_Articulo;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;O/C;;;;;
fin_AA_Autor_Articulo;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;O/E;;;;;
cr_AE_Evento_Articulo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;A/M;;O/C;;;;
fin_AE_Evento_Articulo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;A/M;;O/E;;;;
cr_AE_Conferencista_Evento_Articulo;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;A/M;;;O/C;A/M;;
fin_AE_Conferencista_Evento_Articulo;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;A/M;;;O/E;A/M;;
cr_AE_Conferencista_Evento;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;O/C;;
fin_AE_Conferencista_Evento;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;O/E;;
cr_AE_Evento_Opcion;;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;O/C;
fin_AE_Evento_Opcion;;;A/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;O/E;
cr_AA_Archivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;O/C
fin_AA_Archivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A/M;;;;;;O/E
